"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"The station is promised $1.8 billion within the $5.36 billion provided for research and development in the National Aeronautics and Space Administration, and the nation's high-speed aerospace plane -- cut by the Senate -- could receive as much as $60 million in new funds or transfers.","O-The O-station O-is O-promised B-$-$ O-1 X-. X-8 O-billion O-within O-the B-$-$ O-5 X-. X-36 O-billion O-provided O-for O-research O-and O-development O-in O-the O-National O-Aero X-##na X-##uti X-##cs O-and O-Space O-Administration O-, O-and O-the O-nation O-' X-s O-high X-- X-speed O-aerospace O-plane O-- X-- O-cut O-by O-the O-Senate O-- X-- O-could O-receive O-as O-much O-as B-$-$ O-60 O-million O-in O-new O-funds O-or O-transfers O-."
"Similarly, the House agreed to add back $62 million to continue work on the advanced communications technology satellite, being developed by General Electric Co.","O-Similarly O-, O-the O-House O-agreed O-to O-add O-back B-$-$ O-62 O-million O-to O-continue O-work O-on O-the O-advanced O-communications O-technology O-satellite O-, O-being O-developed O-by O-General O-Electric O-Co O-."
"And while setting a statutory limit of $1.6 billion on the automated space probe, the conference appropriated $30 million for the start-up of the CRAF-Cassini mission, a successor to the Voyager space probe.","O-And O-while O-setting O-a O-statutory O-limit O-of B-$-$ O-1 X-. X-6 O-billion O-on O-the O-automated O-space O-probe O-, O-the O-conference O-appropriate X-##d B-$-$ O-30 O-million O-for O-the O-start X-- X-up O-of O-the O-CR X-##AF X-- X-Cass X-##ini O-mission O-, O-a O-successor O-to O-the O-Voyager O-space O-probe O-."
"Among major domestic agencies, the Environmental Protection Agency stands to receive increases significantly beyond those sought by the administration, with pollution abatement and control accounts growing by 14% to about $829.9 million.","O-Among O-major O-domestic O-agencies O-, O-the O-Environmental O-Protection O-Agency O-stands O-to O-receive O-increases O-significantly O-beyond O-those O-sought O-by O-the O-administration O-, O-with O-pollution O-a X-##bate X-##ment O-and O-control O-accounts O-growing O-by O-14 O-% O-to O-about B-$-$ O-82 X-##9 X-. X-9 O-million O-."
"An estimated $1.57 billion is separately allocated for the National Science Foundation, and within the Housing and Urban Development Department, more than $9.2 billion is provided for federally assisted housing, including an expanded effort to modernize public housing units that serve the poorest families.","O-An O-estimated B-$-$ O-1 X-. X-57 O-billion O-is O-separately O-allocated O-for O-the O-National O-Science O-Foundation O-, O-and O-within O-the O-Housing O-and O-Urban O-Development O-Department O-, O-more O-than B-$-$ O-9 X-. X-2 O-billion O-is O-provided O-for O-federally O-assisted O-housing O-, O-including O-an O-expanded O-effort O-to O-modern X-##ize O-public O-housing O-units O-that O-serve O-the O-poor X-##est O-families O-."
"The most striking example yesterday may have been in community development funds, where the two houses had separately approved a total of 27 projects valued at $20 million, and the conference added 15 more valued at $8 million to ostensibly preserve ""balance"" between the House and Senate.","O-The O-most O-striking O-example O-yesterday O-may O-have O-been O-in O-community O-development O-funds O-, O-where O-the O-two O-houses O-had O-separately O-approved O-a O-total O-of O-27 O-projects O-valued O-at B-$-$ O-20 O-million O-, O-and O-the O-conference O-added O-15 O-more O-valued O-at B-$-$ O-8 O-million O-to O-ostensibly O-preserve O-"" O-balance O-"" O-between O-the O-House O-and O-Senate O-."
"Separately, a third conference report covering an $18.4 billion Treasury and Postal Service bill was sent to the Senate after passing the House on a 383-30 roll call yesterday.","O-Sep X-##arate X-##ly O-, O-a O-third O-conference O-report O-covering O-an B-$-$ O-18 X-. X-4 O-billion O-Treasury O-and O-Postal O-Service O-bill O-was O-sent O-to O-the O-Senate O-after O-passing O-the O-House O-on O-a O-38 X-##3 X-- X-30 O-roll O-call O-yesterday O-."
"The early soft lenses, which cost $300 a set, were expected to last for a year.","O-The O-early O-soft O-lenses O-, O-which O-cost B-$-$ O-300 O-a O-set O-, O-were O-expected O-to O-last O-for O-a O-year O-."
"Eighteen months ago a ""disposable"" seven-day model bowed; a year's supply costs about $500.","O-Eight X-##een O-months O-ago O-a O-"" O-di X-##sp X-##osa X-##ble O-"" O-seven X-- X-day O-model O-bowed O-; O-a O-year O-' X-s O-supply O-costs O-about B-$-$ O-500 O-."
"Including the accesory eye care products, contacts account for $2 billion in annual retail sales.","O-Including O-the O-a X-##cc X-##es X-##ory O-eye O-care O-products O-, O-contacts O-account O-for B-$-$ O-2 O-billion O-in O-annual O-retail O-sales O-."
"Morrison Knudsen Corp. posted third-quarter net income of $7.9 million, or 69 cents a share, continuing a rebound from steep year-ago losses.","O-Morrison O-K X-##nu X-##ds X-##en O-Corp O-. O-posted O-third X-- X-quarter O-net O-income O-of B-$-$ O-7 X-. X-9 O-million O-, O-or O-69 O-cents O-a O-share O-, O-continuing O-a O-re X-##bound O-from O-steep O-year X-- X-ago O-losses O-."
"In the third quarter a year-earlier, the construction and engineering concern posted a loss of $51.2 million, or $4.68 a share.","O-In O-the O-third O-quarter O-a O-year X-- X-earlier O-, O-the O-construction O-and O-engineering O-concern O-posted O-a O-loss O-of B-$-$ O-51 X-. X-2 O-million O-, O-or B-$-$ O-4 X-. X-68 O-a O-share O-."
Revenue in the latest quarter rose 14% to $589 million from $515.1 million.,O-Revenue O-in O-the O-latest O-quarter O-rose O-14 O-% O-to B-$-$ O-58 X-##9 O-million O-from B-$-$ O-51 X-##5 X-. X-1 O-million O-.
"In composite trading on the New York Stock Exchange, Morrison gained $2.25 to $44.125.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-Morrison O-gained B-$-$ O-2 X-. X-25 O-to B-$-$ O-44 X-. X-125 O-."
"Boise, Idaho-based Morrison had losses totaling $186 million over the two years ended in December, but it has surged back to profitability as a result of cost-cutting and shedding of unprofitable operations.","O-Boise O-, O-Idaho X-- X-based O-Morrison O-had O-losses O-totaling B-$-$ O-186 O-million O-over O-the O-two O-years O-ended O-in O-December O-, O-but O-it O-has O-surged O-back O-to O-profit X-##ability O-as O-a O-result O-of O-cost X-- X-cutting O-and O-shed X-##ding O-of O-un X-##p X-##ro X-##fit X-##able O-operations O-."
"In the nine months, the company's net income was $21.5 million, or $1.88 a share, compared with a year-earlier loss of $97.8 million, or $8.96 a share.","O-In O-the O-nine O-months O-, O-the O-company O-' X-s O-net O-income O-was B-$-$ O-21 X-. X-5 O-million O-, O-or B-$-$ O-1 X-. X-88 O-a O-share O-, O-compared O-with O-a O-year X-- X-earlier O-loss O-of B-$-$ O-97 X-. X-8 O-million O-, O-or B-$-$ O-8 X-. X-96 O-a O-share O-."
Revenue rose 17% to $1.62 billion from $1.39 billion.,O-Revenue O-rose O-17 O-% O-to B-$-$ O-1 X-. X-62 O-billion O-from B-$-$ O-1 X-. X-39 O-billion O-.
"The New York Stock Exchange said a seat sold for $436,000, down $39,000 from the previous sale Oct. 4.","O-The O-New O-York O-Stock O-Exchange O-said O-a O-seat O-sold O-for B-$-$ O-43 X-##6 X-, X-000 O-, O-down B-$-$ O-39 X-, X-000 O-from O-the O-previous O-sale O-Oct X-. O-4 O-."
"Seats are currently quoted at $425,000 bid and $475,000 offered.","O-Sea X-##ts O-are O-currently O-quoted O-at B-$-$ O-425 X-, X-000 O-bid O-and B-$-$ O-47 X-##5 X-, X-000 O-offered O-."
"The $475,000 sale price earlier this month was the lowest in nearly three years.","O-The B-$-$ O-47 X-##5 X-, X-000 O-sale O-price O-earlier O-this O-month O-was O-the O-lowest O-in O-nearly O-three O-years O-."
"Exchange seats hit a peak of $1,150,000 in September 1987.","O-Exchange O-seats O-hit O-a O-peak O-of B-$-$ O-1 X-, X-150 X-, X-000 O-in O-September O-1987 O-."
MLX Corp. said it reached a preliminary agreement with senior lenders to its refrigeration and air-conditioning group to restructure the $188.5 million of credit facilities the lenders provide to the group.,O-M X-##L X-##X O-Corp O-. O-said O-it O-reached O-a O-preliminary O-agreement O-with O-senior O-lend X-##ers O-to O-its O-re X-##f X-##rig X-##eration O-and O-air X-- X-conditioning O-group O-to O-rest X-##ru X-##cture O-the B-$-$ O-188 X-. X-5 O-million O-of O-credit O-facilities O-the O-lend X-##ers O-provide O-to O-the O-group O-.
MLX has filed a registration statement with the Securities and Exchange Commission covering a proposed offering of $120 million in long-term senior subordinated notes and warrants.,O-M X-##L X-##X O-has O-filed O-a O-registration O-statement O-with O-the O-Securities O-and O-Exchange O-Commission O-covering O-a O-proposed O-offering O-of B-$-$ O-120 O-million O-in O-long X-- X-term O-senior O-subordinate X-##d O-notes O-and O-warrant X-##s O-.
"Since June, AmeriGas has netted more than $100 million from industrial gas divestitures and reinvested more than $50 million to acquire three propane distributors.","O-Since O-June O-, O-Am X-##eri X-##G X-##as O-has O-net X-##ted O-more O-than B-$-$ O-100 O-million O-from O-industrial O-gas O-dive X-##st X-##iture X-##s O-and O-re X-##in X-##ves X-##ted O-more O-than B-$-$ O-50 O-million O-to O-acquire O-three O-prop X-##ane O-distributor X-##s O-."
M4 sells to the original equipment manufacturer market world-wide and has about $20 million in annual sales.,O-M X-##4 O-sells O-to O-the O-original O-equipment O-manufacturer O-market O-world X-- X-wide O-and O-has O-about B-$-$ O-20 O-million O-in O-annual O-sales O-.
DFC asked the central bank to appoint managers after it revised loan-loss provisions to around the same level of shareholders' funds of 180 million New Zealand dollars (US$105.4 million).,O-D X-##FC O-asked O-the O-central O-bank O-to O-appoint O-managers O-after O-it O-revised O-loan X-- X-loss O-provisions O-to O-around O-the O-same O-level O-of O-shareholders X-' O-funds O-of O-180 O-million O-New O-Zealand O-dollars O-( O-US B-$-$ O-105 X-. X-4 O-million O-) O-.
"Rohm & Haas Co. said third-quarter net income skidded 35% to $32.6 million, or 49 cents a share.","O-R X-##oh X-##m O-& O-Haas O-Co X-. O-said O-third X-- X-quarter O-net O-income O-ski X-##dded O-35 O-% O-to B-$-$ O-32 X-. X-6 O-million O-, O-or O-49 O-cents O-a O-share O-."
"In the year-earlier quarter, the chemicals company had net of $49.8 million, or 75 cents a share.","O-In O-the O-year X-- X-earlier O-quarter O-, O-the O-chemicals O-company O-had O-net O-of B-$-$ O-49 X-. X-8 O-million O-, O-or O-75 O-cents O-a O-share O-."
"Sales were $623 million, up 0.5% from $619.8 million a year ago.","O-Sales O-were B-$-$ O-62 X-##3 O-million O-, O-up O-0 X-. X-5 O-% O-from B-$-$ O-61 X-##9 X-. X-8 O-million O-a O-year O-ago O-."
"For the nine months, Rohm & Haas net totaled $155 million, or $2.33 a share, down 17% from $187.8 million, or $2.82 a share, a year ago.","O-For O-the O-nine O-months O-, O-R X-##oh X-##m O-& O-Haas O-net O-totaled B-$-$ O-155 O-million O-, O-or B-$-$ O-2 X-. X-33 O-a O-share O-, O-down O-17 O-% O-from B-$-$ O-187 X-. X-8 O-million O-, O-or B-$-$ O-2 X-. X-82 O-a O-share O-, O-a O-year O-ago O-."
Sales rose 5.2% to $2.04 billion from $1.94 billion the previous year.,O-Sales O-rose O-5 X-. X-2 O-% O-to B-$-$ O-2 X-. X-04 O-billion O-from B-$-$ O-1 X-. X-94 O-billion O-the O-previous O-year O-.
"In New York Stock Exchange composite trading, Rohm & Haas closed at $33 a share, down $1.75.","O-In O-New O-York O-Stock O-Exchange O-composite O-trading O-, O-R X-##oh X-##m O-& O-Haas O-closed O-at B-$-$ O-33 O-a O-share O-, O-down B-$-$ O-1 X-. X-75 O-."
"Moody's Investors Service Inc., fretting about increasing competitive pressure on Ryder, placed about $2.8 billion in company securities under review for possible downgrade.","O-Moody O-' X-s O-In X-##ves X-##tors O-Service O-Inc X-. O-, O-f X-##ret X-##ting O-about O-increasing O-competitive O-pressure O-on O-Ryder O-, O-placed O-about B-$-$ O-2 X-. X-8 O-billion O-in O-company O-securities O-under O-review O-for O-possible O-down X-##grade O-."
"Donald Trump, who faced rising doubt about his bid for American Airlines parent AMR Corp. even before a United Airlines buy-out came apart Friday, withdrew his $7.54 billion offer.","O-Donald O-Trump O-, O-who O-faced O-rising O-doubt O-about O-his O-bid O-for O-American O-Airlines O-parent O-AM X-##R O-Corp O-. O-even O-before O-a O-United O-Airlines O-buy X-- X-out O-came O-apart O-Friday O-, O-withdrew O-his B-$-$ O-7 X-. X-54 O-billion O-offer O-."
"Separately, bankers representing the group trying to buy United's parent UAL Corp. met with other banks about reviving that purchase at a lower price, possibly around $250 a share, or $5.65 billion.","O-Sep X-##arate X-##ly O-, O-banker X-##s O-representing O-the O-group O-trying O-to O-buy O-United O-' X-s O-parent O-U X-##AL O-Corp O-. O-met O-with O-other O-banks O-about O-re X-##vi X-##ving O-that O-purchase O-at O-a O-lower O-price O-, O-possibly O-around B-$-$ O-250 O-a O-share O-, O-or B-$-$ O-5 X-. X-65 O-billion O-."
"The Manhattan real-estate developer acted after the UAL buyers failed to obtain financing for their earlier $300-a-share bid, which sparked a selling panic among that snowballed into a 190-point drop Friday in the Dow Jones Industrial Average.","O-The O-Manhattan O-real X-- X-estate O-developer O-acted O-after O-the O-U X-##AL O-buyers O-failed O-to O-obtain O-financing O-for O-their O-earlier B-$-$ O-300 X-- X-a X-- X-share O-bid O-, O-which O-sparked O-a O-selling O-panic O-among O-that O-snow X-##ball X-##ed O-into O-a O-190 X-- X-point O-drop O-Friday O-in O-the O-Dow O-Jones O-Industrial O-Average O-."
"UAL tumbled $56.875 to $222.875 on volume of 2.3 million shares, and AMR declined by $22.125 to $76.50 as 4.7 million shares changed hands.","O-U X-##AL O-tumbled B-$-$ O-56 X-. X-87 X-##5 O-to B-$-$ O-222 X-. X-87 X-##5 O-on O-volume O-of O-2 X-. X-3 O-million O-shares O-, O-and O-AM X-##R O-declined O-by B-$-$ O-22 X-. X-125 O-to B-$-$ O-76 X-. X-50 O-as O-4 X-. X-7 O-million O-shares O-changed O-hands O-."
"After reaching an intraday high of $107.50 the day Mr. Trump disclosed his bid Oct. 5, AMR's stock had retreated as low as $97.75 last week.","O-After O-reaching O-an O-in X-##tra X-##day O-high O-of B-$-$ O-107 X-. X-50 O-the O-day O-Mr X-. O-Trump O-disclosed O-his O-bid O-Oct X-. O-5 O-, O-AM X-##R O-' X-s O-stock O-had O-retreated O-as O-low O-as B-$-$ O-97 X-. X-75 O-last O-week O-."
"However, he only received federal clearance to buy more than $15 million of the stock on Sept. 20, when the price rose $2 a share to $78.50.","O-However O-, O-he O-only O-received O-federal O-clearance O-to O-buy O-more O-than B-$-$ O-15 O-million O-of O-the O-stock O-on O-Sept X-. O-20 O-, O-when O-the O-price O-rose B-$-$ O-2 O-a O-share O-to B-$-$ O-78 X-. X-50 O-."
"Between then and his bid on Oct. 5, the price fluctuated between $75.625 and $87.375.","O-Between O-then O-and O-his O-bid O-on O-Oct X-. O-5 O-, O-the O-price O-flu X-##ct X-##uated O-between B-$-$ O-75 X-. X-625 O-and B-$-$ O-87 X-. X-375 O-."
"AMR was trading at around $84 yesterday before his withdrawal announcement, then immediately fell to about $76.","O-AM X-##R O-was O-trading O-at O-around B-$-$ O-84 O-yesterday O-before O-his O-withdrawal O-announcement O-, O-then O-immediately O-fell O-to O-about B-$-$ O-76 O-."
"Assuming that he paid a rough average price of $80 a share, and assuming he didn't sell before his announcement reached the market, Mr. Trump could be sitting with a modest loss with the stock at $76.50.","O-As X-##suming O-that O-he O-paid O-a O-rough O-average O-price O-of B-$-$ O-80 O-a O-share O-, O-and O-assuming O-he O-did O-n X-' X-t O-sell O-before O-his O-announcement O-reached O-the O-market O-, O-Mr X-. O-Trump O-could O-be O-sitting O-with O-a O-modest O-loss O-with O-the O-stock O-at B-$-$ O-76 X-. X-50 O-."
"Officials familiar with the talks said Citicorp had discussed lowering the offer to $250 a share, but said that price was a talking point and that no decision has been made.","O-Official X-##s O-familiar O-with O-the O-talks O-said O-C X-##itic X-##or X-##p O-had O-discussed O-lowering O-the O-offer O-to B-$-$ O-250 O-a O-share O-, O-but O-said O-that O-price O-was O-a O-talking O-point O-and O-that O-no O-decision O-has O-been O-made O-."
"At $250 a share, the group would have to borrow about $6.1 billion from banks.","O-At B-$-$ O-250 O-a O-share O-, O-the O-group O-would O-have O-to O-borrow O-about B-$-$ O-6 X-. X-1 O-billion O-from O-banks O-."
